Date,Revenue
2024-03-31,8742
2023-12-31,8700
2023-09-30,8500
2023-06-30,8200
2023-03-31,8200
2022-12-31,7800
2022-09-30,7900
2022-06-30,7900
2022-03-31,7900
2021-12-31,7780
2021-09-30,7435
2021-06-30,7340
2021-03-31,7163
2020-12-31,6676
2020-09-30,6344
2020-06-30,6148
2020-03-31,5768
